순번,의료기관명,시도명,시군구명,주소,형태
21,마곡편한몸한의원,서울특별시,강서구,서울특별시 강서구 공항대로 124 1층 112호 (마곡동  마곡엠밸리11단지),의원
22,열린소아청소년과의원,서울특별시,성북구,서울특별시 성북구 정릉로 306 1층 (정릉동),의원
23,서울S치과의원,경기도,평택시,경기도 평택시 청북읍 안청로 332 303호 (한남프라자),의원
24,하이맨비뇨의학과의원,광주광역시,광산구,광주광역시 광산구 임방울대로 348 403 404호 (수완동) ,의원
25,봉담도담소아청소년과의원,경기도,화성시,경기도 화성시 봉담읍 매봉로 443 301호 ,의원
26,행복한가정의학과의원,서울특별시,동대문구,서울특별시 동대문구 한천로 242 2층 (전농동),의원
27,호강한의원,경기도,남양주시,경기도 남양주시 별내면 청학로중앙길 33 1층 ,의원
28,고마워 한의원,부산광역시,남구,부산광역시 남구 수영로 295 5층 505호 (대연동),의원
29,성모빛정신건강의학과의원,서울특별시,강동구,서울특별시 강동구 고덕로 353 고덕그라시움(제1상가) 238-240호 (고덕동) ,의원
30,이하린의원,광주광역시,광산구,광주광역시 광산구 사암로 279 (월곡동),의원
31,서울바로치과의원,서울특별시,종로구,서울특별시 종로구 종로40길 9 은하수빌딩 301호 (종로6가),의원
32,바로나은치과의원,서울특별시,은평구,서울특별시 은평구 수색로 322 상가 2동 203  204호 (수색동) ,의원
33,화정퍼스트내과의원,경기도,고양시 덕양구,경기도 고양시 덕양구 화신로260번길 57 요진타워 501호 (화정동) ,의원
34,화창한병원,부산광역시,금정구,부산광역시 금정구 중앙대로1685번길 12 지하2-6층 (부곡동),병원
35,목포재활요양병원,전라남도,목포시,전라남도 목포시 영산로 627 (석현동) ,병원
36,마음정원 정신건강의학과의원,경기도,성남시 분당구,경기도 성남시 분당구 대왕판교로606번길 41 프라임스퀘어 504호 (삼평동),의원
37,메이릴리의원,충청남도,천안시 서북구,충청남도 천안시 서북구 성성8로 2-7 5층 (성성동) ,의원
38,서울제일내과의원,경기도,용인시 수지구,경기도 용인시 수지구 광교중앙로 310 신명프라자 201-202호 (상현동),의원
39,빛고을전남대학교병원,광주광역시,남구,광주광역시 남구 덕남길 80-0 1동 (덕남동 전남대학교병원류마티스전문질환센터) ,병원
40,서울든든내과의원,인천광역시,부평구,인천광역시 부평구 부평대로 83 강남타워 6층 (부평동),의원
41,등가정의학과의원,경상북도,포항시 북구,경상북도 포항시 북구 삼호로 287 존메디칼병원 4층 (두호동),의원
42,행복한가정의학과의원,경기도,수원시 장안구,경기도 수원시 장안구 하률로12번길 86 (천천동),의원
43,서울누리의원,경기도,성남시 분당구,경기도 성남시 분당구 정자일로 121 제상가동 2층 제에이치-07호 (정자동  더샵스타파크),의원
44,유디치과의원,제주특별자치도,제주시,제주특별자치도 제주시 중앙로14길 8 (이도일동) ,의원
45,사상스마트병원,부산광역시,사상구,부산광역시 사상구 학감대로 269 지하2-지상10층 (감전동) ,병원
46,이룸정신건강의학과의원,서울특별시,송파구,서울특별시 송파구 백제고분로 365 태문빌딩 2층 (석촌동),의원
47,서울늘편한내과의원,경기도,고양시 일산서구,경기도 고양시 일산서구 중앙로 1557 삼운트루아오피스텔 2층 201  207  208호 (대화동),의원
48,복음요양병원,울산광역시,북구,울산광역시 북구 제내1길 6 (신천동) ,병원
49,상주우리의원,경상남도,남해군,경상남도 남해군 상주면 남해대로 699 ,의원
50,런던치과의원,서울특별시,종로구,서울특별시 종로구 종로5길 97 2층 (수송동),의원
51,광주한국병원,광주광역시,서구,광주광역시 서구 월드컵4강로 223 (쌍촌동) ,병원
52,서울이음치과의원,경기도,시흥시,경기도 시흥시 은계로 353 3층 301-302호 (대야동),의원
53,서울구로디지털의원,서울특별시,구로구,서울특별시 구로구 디지털로27가길 17 오닉스 지식산업센터 201-208호 (구로동) ,의원
54,제일탑내과의원,전북특별자치도,익산시,전북특별자치도 익산시 하나로 434 3층 (어양동) ,의원
55,해날치과의원,서울특별시,동대문구,서울특별시 동대문구 답십리로 140 3층 307호 (답십리동  세기프라자),의원
56,비에스치과의원,인천광역시,동구,인천광역시 동구 샛골로 212 2 3층 (송림동),의원
57,장보는 덕원 내과의원,경상북도,경산시,경상북도 경산시 중앙로 77 2층 (중방동),의원
58,분당365일의원,경기도,성남시 분당구,경기도 성남시 분당구 성남대로 165 천사의도시1 오피스텔 2층 230호 및 231-1호 (금곡동) ,의원
59,아이힐소아청소년과의원,충청남도,천안시 서북구,충청남도 천안시 서북구 동서대로 135  6-8층  서북구 성정공원1길 135 6-8층  서북구 성정공원1길 9-7  2층 (성정동) ,의원
60,연세타이밍치과의원,서울특별시,강동구,서울특별시 강동구 양재대로 1465 마루홈타운 5층 (길동),의원
61,의료법인 마크로젠의료재단 진헬스의원,인천광역시,연수구,인천광역시 연수구 인천타워대로132번길 34 6 7 8층 (송도동) ,의원
62,제이엠가정의학과의원,부산광역시,해운대구,부산광역시 해운대구 센텀남대로 50 센템임페리얼타워 2층 202 일부호  센텀1로 9  S동 311  312호 (우동) ,의원
63,사람사랑치과의원평택지제점,경기도,평택시,경기도 평택시 동삭1로22번길 19-17 메인프라자 3층 301-305호 (동삭동),의원
64,365다봄의원,경기도,안양시 만안구,경기도 안양시 만안구 관악대로 54 401 402 403호 (안양동) ,의원
65,낙성대성모이비인후과의원,서울특별시,관악구,서울특별시 관악구 남부순환로 1940 301호 (봉천동),의원
66,서울삼성내과의원,경기도,고양시 덕양구,경기도 고양시 덕양구 향기로 100 베스트프라자 302호-304호 (향동동),의원
67,지플란트치과의원,광주광역시,광산구,광주광역시 광산구 우산로95번길 44 2층 201-203호 (우산동),의원
68,홈닥터예방의학과의원,경기도,수원시 영통구,경기도 수원시 영통구 광교중앙로 232 드림타워4 301호 (하동) ,의원
69,양내과의원,부산광역시,북구,부산광역시 북구 금곡대로303번길 36 스페이스303 2층 201호 (화명동),의원
70,배재지안이비인후과의원,대전광역시,서구,대전광역시 서구 배재로 175 3층 (도마동) ,의원
71,삼송성모내과의원,경기도,고양시 덕양구,경기도 고양시 덕양구 권율대로 893 파스텔 시티 501 502호 (신원동),의원
72,서울원내과의원,경기도,의정부시,경기도 의정부시 서광로 135 402호 (산곡동),의원
73,연세예은치과의원,서울특별시,강남구,서울특별시 강남구 개포로82길 13-9 세종빌딩 2층 (개포동) ,의원
74,도담소아청소년과의원,경기도,김포시,경기도 김포시 고촌읍 수기로 115 센트럴타워 4층 404호,의원
75,조근호정신건강의학과의원,서울특별시,광진구,서울특별시 광진구 천호대로 559 아스하임 501호 (중곡동),의원
76,아이엠재활병원,충청북도,청주시 서원구,충청북도 청주시 서원구 청남로 2140-0 (모충동) ,병원
77,강북제일내과의원,서울특별시,중랑구,서울특별시 중랑구 동일로 952 2층 201-202호 (묵동  로프트원 태릉입구역),의원
78,클렌시아내과의원,서울특별시,강남구,서울특별시 강남구 선릉로 431 에스케이허브오피스텔 305호 (역삼동) ,의원
79,김태희의원,전라남도,순천시,전라남도 순천시 중앙로 152 2층 (매곡동) ,의원
80,황금의원,경기도,용인시 수지구,경기도 용인시 수지구 신봉2로 73 태천빌딩2 201 2호 (신봉동),의원
81,서울에스앤유비뇨의학과의원,서울특별시,마포구,서울특별시 마포구 양화로 72 2층 205 206호 (서교동),의원
82,부천우리병원,경기도,부천시 오정구,경기도 부천시 오정구 소사로 726 지하4층-지상5층 (원종동) ,병원
83,연세로의료의원,서울특별시,종로구,서울특별시 종로구 삼봉로 57 호수빌딩 3 4 7층 (수송동) ,의원
84,데일리연합의원,대전광역시,서구,대전광역시 서구 관저로 27 4층 401 402호 (관저동) ,의원
85,류마변세진내과의원,서울특별시,강동구,서울특별시 강동구 양재대로 1473 희헌타워 5층 (길동) ,의원
86,서울삼성의원,서울특별시,금천구,서울특별시 금천구 금하로 711 2 5층 (시흥동),의원
87,365하하병원,부산광역시,강서구,부산광역시 강서구 명지오션시티4로 88 3-7층 (명지동) ,병원
88,드림소아청소년과의원,경상남도,김해시,경상남도 김해시 율하로 476 302호 (장유동) ,의원
89,리안의원,강원특별자치도,동해시,강원특별자치도 동해시 오일장길 30 (구미동) ,의원
90,이빛나는치과의원,경기도,양주시,경기도 양주시 옥정로7길 9-19 2층 201-204호 (옥정동) ,의원
91,삼성백내과의원,인천광역시,계양구,인천광역시 계양구 장제로 910 4층 (병방동),의원
92,시원한이비인후과의원,부산광역시,부산진구,부산광역시 부산진구 전포대로200번길 27 강남메디컬센터 4층 (전포동),의원
93,건강지킴가정의학과의원,대구광역시,중구,대구광역시 중구 동덕로30길 45 2층 (동인동4가),의원
94,이신내과의원,부산광역시,부산진구,부산광역시 부산진구 중앙대로 808 금정빌딩 4층 5층 (전포동),의원
95,안락샘내과의원,부산광역시,동래구,부산광역시 동래구 안락로 12 LG 25 3층 (안락동),의원
96,아인성모이비인후과의원,경기도,수원시 영통구,경기도 수원시 영통구 광교호수공원로 277 2층 2F-001  002호 (원천동  광교중흥에스클래스),의원
97,위드내과의원,강원특별자치도,강릉시,강원특별자치도 강릉시 솔올로 35 2층 (교동) ,의원
98,맑은수내과의원,경기도,안산시 단원구,경기도 안산시 단원구 광덕4로 220 밀레니엄프라자 301-304  401호 (고잔동) ,의원
99,장림연세내과의원,부산광역시,사하구,부산광역시 사하구 장림번영로 43 (장림동),의원
100,아이드림소아청소년과의원,경기도,파주시,경기도 파주시 한울로 123 3층 (동패동  이마트 파주운정점) ,의원
101,위(WE)공감내과의원,서울특별시,용산구,서울특별시 용산구 백범로 341 A동 305  307호 (원효로1가  리첸시아 용산),의원
102,엠디(MD)서울내과의원,강원특별자치도,속초시,강원특별자치도 속초시 중앙로 96 1층 101호 (청학동) ,의원
103,편한몸한의원,서울특별시,금천구,서울특별시 금천구 벚꽃로 298 216호 (가산동  대륭포스트타워6차 ) ,의원
104,숲이비인후과의원,강원특별자치도,원주시,강원특별자치도 원주시 서원대로 170 재영빌딩 3  5층 (단계동) ,의원
105,곽엄섭내과의원,강원특별자치도,원주시,강원특별자치도 원주시 현충로 320-1 2층 (태장동) ,의원
106,서울고운이치과의원,서울특별시,서초구,서울특별시 서초구 고무래로 22 쌍동빌딩 서관  3층 일부 (반포동),의원
107,일산심내과의원,경기도,고양시 일산서구,경기도 고양시 일산서구 일중로 92 3층 (일산동),의원
108,마음챙김정신건강의학과의원,서울특별시,관악구,서울특별시 관악구 신림로 350 4층 404호 (신림동  서원프라자  태영아파트),의원
109,이후치과의원,경기도,수원시 영통구,경기도 수원시 영통구 법조로 25 광교 SK VIEW Lake A동 302호 (하동),의원
110,연세든든내과의원,서울특별시,강서구,서울특별시 강서구 화곡로 152 CUBE152 2 4층 (화곡동),의원
111,트리니움여성병원,세종특별자치시,세종특별자치시,세종특별자치시 한누리대로 1934 메인타워 (반곡동) ,병원
112,수사랑병원,전북특별자치도,익산시,전북특별자치도 익산시 배산로 69-0 (모현동1가) ,병원
113,강북으뜸병원,서울특별시,강북구,서울특별시 강북구 도봉로 187 지하1층  2층-5층 (미아동),병원
114,정심는치과의원,충청북도,청주시 상당구,충청북도 청주시 상당구 청남로 2196 (석교동),의원
115,향남봄내과의원,경기도,화성시,경기도 화성시 향남읍 행정중앙2로 33 3층 301-303호 (성지프라자) ,의원
116,의료법인 플러스의료재단 단원병원,경기도,안산시 단원구,경기도 안산시 단원구 원포공원1로 20 동의성단원병원 (초지동) ,병원
117,바른내과의원,경기도,의정부시,경기도 의정부시 평화로 647 미건메디컬프라자 109-114호  204-205호 (의정부동),의원
118,서울포레스트정신건강의학과의원,서울특별시,강남구,서울특별시 강남구 도산대로 420 청담스퀘어 212호 (청담동) ,의원
119,현정신건강의학과의원,경기도,성남시 중원구,경기도 성남시 중원구 둔촌대로 84 601호 (성남동),의원
120,일송정한의원,서울특별시,종로구,서울특별시 종로구 비봉길 5 1층 (구기동) ,의원
121,송도베스트내과의원,인천광역시,연수구,인천광역시 연수구 송도국제대로 157 오네스타 6층 601 602 603 604-1 609호 (송도동) ,의원
122,유니아이소아청소년과의원,충청남도,당진시,충청남도 당진시 송악읍 틀모시로 762 403 404호,의원
123,주안속튼튼내과의원,인천광역시,미추홀구,인천광역시 미추홀구 석정로 391 3층 (주안동) ,의원
124,참튼튼병원,서울특별시,구로구,서울특별시 구로구 시흥대로 547  금강빌딩 지하1 2-10층(구로동)  디지털로32가길 547 금강빌딩 지하1 2-10층(구로동)  디지털로32가길 25  티타운빌딩 B102 103 205 206 302 (구로동) ,병원
125,이현연합의원,경상남도,창원시 진해구,경상남도 창원시 진해구 신항동로 141 205 217 204-1호 (용원동  애플타운 헤리티지),의원
126,아산본내과의원,서울특별시,강동구,서울특별시 강동구 양재대로 1465 마루홈타운 4 6층 (길동) ,의원
127,의료법인 명인의료재단 화홍병원,경기도,수원시 권선구,경기도 수원시 권선구 호매실로90번길 98 (호매실동) ,병원
128,송도맘편한소아청소년과의원,인천광역시,연수구,인천광역시 연수구 랜드마크로 68 1 2층 43 255 256 257호 (송도동  랜드마크시티센트럴더샵) ,의원
129,서울푸른숲내과의원,서울특별시,구로구,서울특별시 구로구 항동로3길 6 가온 프라자 5 6 7층 (항동),의원
130,바른의원,서울특별시,관악구,서울특별시 관악구 신림로 198 1-2층 (신림동),의원
131,더숨내과의원,대전광역시,서구,대전광역시 서구 도안동로11번길 10 PLC빌딩 2층 201 202호 (가수원동) ,의원
132,서울새한치과의원,서울특별시,마포구,서울특별시 마포구 대흥로 183 신촌그랑자이 상가 207 208호 (대흥동),의원
133,라파엘소아청소년과의원,경기도,수원시 장안구,경기도 수원시 장안구 대평로 86 403호 (정자동),의원
134,드림이비인후과의원,경기도,김포시,경기도 김포시 김포대로 709 퍼스트블루 503-4호 (풍무동),의원
135,원흥수내과의원,경기도,고양시 덕양구,경기도 고양시 덕양구 권율대로 685 SIB타워 5층 506-509호 (원흥동) ,의원
136,양주삼성내과의원,경기도,양주시,경기도 양주시 옥정로 214 5층 502호 (옥정동),의원
137,김형준휴정신건강의학과의원,전북특별자치도,전주시 완산구,전북특별자치도 전주시 완산구 용리로 57-3 3층 (효자동1가) ,의원
138,월곡바른재활의학과의원,서울특별시,성북구,서울특별시 성북구 화랑로11길 26 2층 201 202 214 216호 (하월곡동  월곡갑을명가),의원
139,안계참좋은치과의원,경상북도,의성군,경상북도 의성군 안계면 안계길 171 2층,의원
140,수완탑내과의원,광주광역시,광산구,광주광역시 광산구 임방울대로 348 6층 602 603호 (수완동),의원
141,포항베리굿의원,경상북도,포항시 북구,경상북도 포항시 북구 중흥로 297 2층 (죽도동) ,의원
142,장편한내과의원,인천광역시,남동구,인천광역시 남동구 논고개로123번길 35 301 319 320호 (논현동) ,의원
143,송내연합의원,경기도,부천시 소사구,경기도 부천시 소사구  경인로 126 2층 3층 (송내동) ,의원
144,서울중부치과의원,서울특별시,중구,서울특별시 중구 을지로 170 을지트윈타워 3층 301호 (을지로4가) ,의원
145,부산큰병원,부산광역시,부산진구,부산광역시 부산진구 가야대로 494 지하1층-지상1층 각 일부  지상2층-4층 전부 (개금동) ,병원
146,밀레니엄서울내과의원,인천광역시,연수구,인천광역시 연수구 컨벤시아대로 69 송도 밀레니엄 4층 402호 (송도동),의원
147,호수내과의원,서울특별시,송파구,서울특별시 송파구 송파대로 438 녹십초빌딩 2 3층 (송파동) ,의원
148,연세하나병원,경기도,김포시,경기도 김포시 김포대로 709 퍼스트블루 2 3 4층 (풍무동) ,병원
149,삼성바른치과의원,경기도,화성시,경기도 화성시 동탄영천로 81-5 골든프라자 306 307호 (영천동) ,의원
150,우리메디컬의원,세종특별자치시,세종특별자치시,세종특별자치시 고운서길 19 세종 스마트큐브Ⅰ 301-303 305-308호 (고운동),의원
151,보아스이비인후과의원,서울특별시,송파구,서울특별시 송파구 백제고분로 386 2층 (송파동) ,의원
152,송제일 전종민내과의원,강원특별자치도,속초시,강원특별자치도 속초시 중앙로 93 (청학동) ,의원
153,의왕참조은내과의원,경기도,의왕시,경기도 의왕시 모락로 28 4층 401호 (오전동),의원
154,마음평온정신건강의학과의원,경기도,용인시 처인구,경기도 용인시 처인구 명지로60번길 8-14 3층 304호 (역북동),의원
155,서울본브릿지병원,서울특별시,강남구,서울특별시 강남구 도곡로 214 롤스웰빌딩 지하2층  지하1층  지상1층 일부  지상2-7층  (도곡동),병원
156,더이비인후과의원,경기도,시흥시,경기도 시흥시 승지로59번길 12 시티타워 2층 204-206호 (능곡동) ,의원
157,서울플러스내과의원,서울특별시,강동구,서울특별시 강동구 진황도로 190 4층 (둔촌동),의원
158,라이즈치과의원,서울특별시,중구,서울특별시 중구 서소문로 115 한산빌딩 7층 701호 (서소문동),의원
159,서울오케이내과의원,서울특별시,구로구,서울특별시 구로구 개봉로 66 3층 (개봉동) ,의원
160,문앤장내과의원,서울특별시,강동구,서울특별시 강동구 고덕로 390 고덕아르테온아파트(상가1동) 2층 209 211 212호 (상일제1동) ,의원
161,율하연합가정의학과의원,대구광역시,동구,대구광역시 동구 안심로22길 60 동흥메디칼 4층 403호 (율하동) ,의원
162,연세김내과의원,경기도,용인시 기흥구,경기도 용인시 기흥구 동백중앙로 283 골드프라자 B동 1001-1005호 (중동),의원
163,신사임당한의원,서울특별시,성동구,서울특별시 성동구 아차산로 41 안동빌딩 3 4층 (성수동1가),의원
164,온정성치과의원,부산광역시,수영구,부산광역시 수영구 연수로 415 3층 (수영동) ,의원
165,더웰내과의원,서울특별시,노원구,서울특별시 노원구 한글비석로 383 삼창타워프라자 2층 12호  1층 201호 (중계동),의원
166,봄봄한의원,인천광역시,미추홀구,인천광역시 미추홀구 주안로 226 더월드스테이트 중심상가 1층 113호 (주안동),의원
167,성모편한내과의원,경기도,의정부시,경기도 의정부시 발곡로 30 4층 1호 (신곡동),의원
168,고양휴메디병원,경기도,고양시 덕양구,경기도 고양시 덕양구 원흥3로 6-17 3층-7층 (원흥동) ,병원
169,신당센트럴이비인후과의원,서울특별시,중구,서울특별시 중구 퇴계로 447 2층 218호 (황학동  황학 아크로타워),의원
170,신대온누리병원,전라남도,순천시,전라남도 순천시 해룡면 향매로 97-0 2 6-7층,병원
171,속조아내과의원,경기도,안양시 동안구,경기도 안양시 동안구 경수대로 607 3층 (호계동),의원
172,연세나음샘내과.마취통증의학과의원,대전광역시,동구,대전광역시 동구 동서대로 1677 5층 502호 (용전동),의원
173,구로센트럴이비인후과의원,서울특별시,구로구,서울특별시 구로구 경인로 176 4층 (오류동  시티월드),의원
174,이지정신건강의학과의원,서울특별시,강서구,서울특별시 강서구 강서로 251 세란빌딩 3층 (내발산동),의원
175,을지로참내과의원,서울특별시,중구,서울특별시 중구 을지로 164 베스트웨스턴호텔국도 지하1층  3층 (을지로4가) ,의원
176,율하바른의원,경상남도,김해시,경상남도 김해시 율하로 478 모산메디피아 2층 201호 (장유동) ,의원
177,좋은숨김동규내과재활의학과의원,서울특별시,영등포구,서울특별시 영등포구 시흥대로 635 대림메디컬빌딩 2층 (대림동),의원
178,벗이사는숲정신건강의학과의원,서울특별시,강남구,서울특별시 강남구 남부순환로359길 30 202호 (도곡동),의원
179,류성열내과의원,대구광역시,수성구,대구광역시 수성구 달구벌대로 2280 아성N타워 4층 (수성동1가),의원
180,오율의원(마곡본점),서울특별시,강서구,서울특별시 강서구 마곡서로 157 스프링파크타워 2층 (마곡동),의원
181,연세정성내과의원,서울특별시,강서구,서울특별시 강서구 화곡로 301 원풍빌딩 4층 (화곡동) ,의원
182,울산엘리야병원,울산광역시,북구,울산광역시 북구 호계로 285 (호계동),병원
183,의료법인 심연의료재단 세명병원,경상남도,창원시 진해구,경상남도 창원시 진해구 용원서로 42 (신관2층 4층 용원서로 44) (용원동) ,병원
184,삼성우리내과의원,경기도,광명시,경기도 광명시 철산로 32 4층 (철산동),의원
185,바로본365의원,인천광역시,서구,인천광역시 서구 가정로 309 3층일부  4층 (석남동) ,의원
186,코코소아청소년과의원,인천광역시,연수구,인천광역시 연수구 인천타워대로197번길 16 2층 241 242호 (송도동) ,의원
187,연세윤내과의원,부산광역시,사상구,부산광역시 사상구 사상로 200 엠시티빌딩 4층 401 402호 (괘법동) ,의원
188,경기도립정신병원,경기도,용인시 기흥구,경기도 용인시 기흥구 중부대로 940 새로운경기도립정신병원 (상하동) ,병원
189,성모베스트 정신건강의학과의원,경기도,남양주시,경기도 남양주시 늘을2로14번길 3 에이스프라자 6층 604 605호 (호평동),의원
190,창녕경남의원,경상남도,창녕군,경상남도 창녕군 창녕읍 옥만길 9,의원
191,굿모닝이비인후과의원,부산광역시,부산진구,부산광역시 부산진구 중앙대로 669 2층 3층 (부전동) ,의원
192,정한방병원,대전광역시,서구,대전광역시 서구 대덕대로 237-0 2 3 4 5층 (둔산동) ,병원
193,서울유이비인후과의원,경기도,성남시 수정구,경기도 성남시 수정구 산성대로 439 3층 일부호 (단대동),의원
194,우리베스트내과의원,인천광역시,서구,인천광역시 서구 염곡로464번길 15 4층 (가정동) ,의원
195,스마일마취통증의학과의원,서울특별시,종로구,서울특별시 종로구 새문안로 89 정우빌딩 8층 802호 (신문로1가),의원
196,쌍문성모내과의원,서울특별시,도봉구,서울특별시 도봉구 도봉로 511 2-4층 (쌍문동) ,의원
197,서울더블유(W)내과의원,경기도,성남시 수정구,경기도 성남시 수정구 수정로 291 상가1동 108 109 112호 (신흥동) ,의원
198,강남박내과의원,서울특별시,강남구,서울특별시 강남구 강남대로84길 8 우인빌딩 2층 (역삼동),의원
199,킹소아청소년과의원,인천광역시,서구,인천광역시 서구 완정로 172 402호 (마전동),의원
200,엠플러스의원,서울특별시,강남구,서울특별시 강남구 학동로 180 학동역 지하2층 213 214 215 216호 (논현동) ,의원
201,일신소아청소년과의원,부산광역시,남구,부산광역시 남구 분포로 113 1005동 304호 (용호동  엘지메트로시티) ,의원
202,서울공감치과의원,경기도,동두천시,경기도 동두천시 지행로 63 연빌딩 4층 (지행동),의원
203,수가정의학과의원,경기도,수원시 권선구,경기도 수원시 권선구 서수원로47번길 11 그린메디프라자 3층 301 302호 (오목천동),의원
204,위례재활의학과병원,경기도,성남시 수정구,경기도 성남시 수정구 위례서일로 6 6층-9층 (창곡동) ,병원
205,청계내과의원,서울특별시,서초구,서울특별시 서초구 청계산로9길 70 내곡 SH플라자 2층 204 205호 (내곡동) ,의원
206,연세유비뇨의학과의원,전라남도,나주시,전라남도 나주시 빛가람로 747 빛가람메디칼빌딩 303호 (빛가람동),의원
207,성모 준 이비인후과의원,서울특별시,중구,서울특별시 중구 을지로 170 3층 301-3호 (을지로4가),의원
208,이편한서울이비인후과의원,경기도,고양시 덕양구,경기도 고양시 덕양구 동송로 33 이편한세상시티삼송 상가동 2층 46 47호 (동산동) ,의원
209,더맑은이비인후과의원,경기도,성남시 수정구,경기도 성남시 수정구 수정로 291 상가1동 3층 302호 (신흥동),의원
210,일산본내과의원,경기도,고양시 일산서구,경기도 고양시 일산서구 일현로 91 나인원탄현 3층 (탄현동),의원
211,삼성나노시티의원,경기도,화성시,경기도 화성시 삼성전자로 1 삼성전자(주)  EUV라인 1층 (반월동) ,의원
212,삼동의원,경기도,광주시,경기도 광주시 순암로 491 B동 203 204호 (삼동),의원
213,다산민내과의원,경기도,남양주시,경기도 남양주시 다산중앙로123번길 22-8 리더스퀘어 305-308호 (다산동),의원
214,최성원내과의원,부산광역시,강서구,부산광역시 강서구 명지국제8로 240 2층 202 203호 (명지동) ,의원
215,소생한의원,서울특별시,노원구,서울특별시 노원구 한글비석로 464 2층 (상계동),의원
216,김명건내과의원,경기도,부천시 오정구,경기도 부천시 오정구 오정로 250 신오빌딩 2층 (오정동) ,의원
217,강서아산내과의원,서울특별시,강서구,서울특별시 강서구 가로공원로76길 51 2-5층 (화곡동),의원
218,다대안심내과의원,부산광역시,사하구,부산광역시 사하구 다대로 556 4 5 6층 (다대동) ,의원
219,센트럴이비인후과의원,경기도,양주시,경기도 양주시 회천남로 92 센타프라자 3층 303호 일부 (옥정동) ,의원
220,충주호암내과의원,충청북도,충주시,충청북도 충주시 호암수청2로 15 유안빌딩 4층  4층 (호암동) ,의원
221,양산큰내과의원,경상남도,양산시,경상남도 양산시 덕계로 77 덕계농협 2-3층 (덕계동) ,의원
222,연세제일내과의원,서울특별시,은평구,서울특별시 은평구 연서로32길 3 정원빌딩 5층 (불광동) ,의원
223,숨편한인광호내과의원,서울특별시,성북구,서울특별시 성북구 보국문로 68-1 3층 (정릉동),의원
224,위례탑내과의원,경기도,성남시 수정구,경기도 성남시 수정구 위례광장로 310 우성트램타워 A동 501 502호 (창곡동),의원
225,서울굿모닝내과의원,경기도,남양주시,경기도 남양주시 오남읍 진건오남로 527 2층,의원
226,베스트내과의원,경기도,성남시 수정구,경기도 성남시 수정구 수정로 174 진영빌딩 301호 (신흥동),의원
227,권희정정신건강의학과의원,서울특별시,성동구,서울특별시 성동구 왕십리로 320 W에비뉴타워 5층 502호 (도선동),의원
228,그랜드연합내과의원,강원특별자치도,춘천시,강원특별자치도 춘천시 중앙로 68 3층 (중앙로2가) ,의원
229,늘푸른의원,경상남도,창녕군,경상남도 창녕군 남지읍 낙동로 498-2 3층,의원
230,이플란트치과의원,경기도,수원시 영통구,경기도 수원시 영통구 중부대로 259 504호 (원천동  예스프라자),의원
231,스마일가정의학과의원,강원특별자치도,강릉시,강원특별자치도 강릉시 성덕로 328-18 주영프라자 4층 401호 (입암동) ,의원
232,서울올바른치과의원,경기도,수원시 영통구,경기도 수원시 영통구 에듀타운로 24 201호 (이의동  그린프라자),의원
